title,address,price
იყიდება ძველი აშენებული ბინა კონიაკის დასახლებაში,"ილორის ქუჩა 15, დ. სარაჯიშვილის გამზ, კონიაკის დასახლება, გლდანის რაიონი, თბილისი","52,000GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 6 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","122,900GEL"
იყიდება ახალი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"ა.ბოჭორიშვილის 33, გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","144,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ფარსმან 2 ქველის ქუჩა, გლდანი 3ა მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","55,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ფარსმან 2 ქველის ქუჩა, გლდანი 3ა მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","58,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","116,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","141,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 6 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","145,000GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანის მასივი, I მიკრორაიონი, კორპუსი 11, გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","189,100GEL"
იყიდება მშენებარე ბინა მუხიანში,"რადიო ქარხნის მიმდებარედ , მუხიანი, გლდანის რაიონი, თბილისი","86,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","132,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","163,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","157,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","180,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","179,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","138,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"თ. შეშელიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","183,500GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","135,600GEL"
იყიდება მშენებარე ბინა გლდანი 4 მკრ. რაიონში,"გლდანი 4 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","80,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","129,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის ა მიკრორაიონი, გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","116,600GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"კ. ლესელიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","104,000GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"23 ბ კორპუსი, 7 სართული, ბინა 21, გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","179,700GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","110,300GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"1 მიკრო 23,ბ კორპუსი, გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","138,700GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","129,200GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","176,500GEL"
იყიდება ახალი აშენებული ბინა გლდანი 4 მკრ. რაიონში,"გლდანი 4 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","119,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","141,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","151,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","101,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","143,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გმირ კურსანტთა ქუჩა 1ა, გლდანის მასივი, გლდანის რაიონი, თბილისი","124,500GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","173,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 5 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","110,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის.ა.მიკ., გლდანის მასივი, გლდანის რაიონი, თბილისი","107,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო.ხიზანიშვილის ქ. 108, ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","154,500GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"2 , ა. ვასაძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","204,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","113,500GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","91,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","157,600GEL"
იყიდება ძველი აშენებული ბინა მუხიანში,"ი. ნონეშვილის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","182,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","143,400GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","97,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","139,600GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","118,200GEL"
იყიდება ძველი აშენებული ბინა კონიაკის დასახლებაში,"კონიაკის დასახლება, გლდანის რაიონი, თბილისი","230,400GEL"
იყიდება ძველი აშენებული ბინა გლდანულაში,"ვ. ჯანჯღავას ქუჩა, გლდანულა, გლდანის რაიონი, თბილისი","78,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 5 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","26,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 5 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","26,000GEL"
იყიდება ძველი აშენებული ბინა გლდანულაში,"გლდანულა, გლდანის რაიონი, თბილისი","96,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"მე-4 მ/რ, მამკოდას ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","82,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","129,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","122,900GEL"
იყიდება ძველი აშენებული ბინა გლდანის რაიონში,"თბილისი გლდანის ა მიკრო ვეკუას 2, გლდანის რაიონი, თბილისი","100,900GEL"
იყიდება მშენებარე ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","91,400GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","157,600GEL"
იყიდება ახალი აშენებული ბინა გლდანი 4 მკრ. რაიონში,"გლდანი 4 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","63,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","151,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 5 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","85,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","168,700GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","163,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","227,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ხიზაბავრის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","132,400GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","141,900GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","129,200GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","132,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"დ. ჯაბიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","167,100GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"ნ. კეცხოველის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","154,500GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","173,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"სარაჯიშვილის მეტროსთან ახლოს, ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","115,100GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"მერვე მიკრო, გლდანის მასივი, გლდანის რაიონი, თბილისი","113,500GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"მე-6 ე მიკრო, გლდანის მასივი, გლდანის რაიონი, თბილისი","107,200GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"1 მკ.რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","188,800GEL"
იყიდება ძველი აშენებული ბინა მუხიანში,"მუხიანი, მუხიანი, გლდანის რაიონი, თბილისი","122,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","167,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","107,200GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","173,400GEL"
იყიდება ძველი აშენებული ბინა გლდანი 2 მკრ. რაიონში,"გლდანი 2 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","214,400GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"ი. ვეკუას ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","157,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ანგია ბოჭორიშვილის 53, გლდანის მასივი, გლდანის რაიონი, თბილისი","192,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"მესამე მიკრო . მემედ აბაშიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","116,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"მეხუთე მიკრო, გლდანის მასივი, გლდანის რაიონი, თბილისი","110,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი ა მ/რ, გლდანის მასივი, გლდანის რაიონი, თბილისი","132,400GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","110,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი, ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","283,700GEL"
იყიდება ახალი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","116,800GEL"
იყიდება ახალი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","126,800GEL"
იყიდება ძველი აშენებული ბინა გლდანი 2 მკრ. რაიონში,"გლდანი 2 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","214,400GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის 11, მუხიანი, გლდანის რაიონი, თბილისი","116,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","129,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის 1, გლდანის მასივი, გლდანის რაიონი, თბილისი","236,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","192,300GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 8 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","119,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","145,000GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","91,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","116,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"მწვანე ქუჩა 1, დ. ჯაბიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","78,800GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","82,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 6 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","111,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","167,100GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"მაგარ ადგილას, გლდანი 3 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","134,000GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","167,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","135,600GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","101,500GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანი 5 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","75,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","176,500GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 6 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","85,100GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"კორპუსი 3., გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","145,000GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"ა. გობრონიძის ქუჩა, მუხიანი, გლდანის რაიონი, თბილისი","96,100GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","90,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ნ. კეცხოველის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","127,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ი. ვეკუას ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","105,600GEL"
იყიდება ძველი აშენებული ბინა გლდანის მასივში,"გლდანი 7 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","211,200GEL"
იყიდება ძველი აშენებული ბინა გლდანულაში,"გლდანულა, გლდანის რაიონი, თბილისი","208,100GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"ბინგოს ხიდთან მეტროდან 200 მეტრში, გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","201,800GEL"
იყიდება ძველი აშენებული ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","200,200GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"2, ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","138,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"თ. შეშელიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","183,500GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"2, ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","179,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"2, ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","180,300GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"ო. ხიზანიშვილის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","97,700GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"კ. ლესელიძის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","108,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის რაიონში,"თიანეთის გზატკეცილი, გლდანის რაიონი, თბილისი","122,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"სარაჯიშვილის მეტროსთან, ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","154,500GEL"
იყიდება მშენებარე ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","102,100GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"სარაჯიშვილის მეტროსთან ახლოს, ქერჩის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","110,300GEL"
იყიდება ახალი აშენებული ბინა მუხიანში,"მუხიანი, გლდანის რაიონი, თბილისი","91,400GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"მ. ხერგიანის ქუჩა, გლდანის მასივი, გლდანის რაიონი, თბილისი","141,900GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"გლდანის მასივი, გლდანის რაიონი, თბილისი","122,900GEL"
იყიდება მშენებარე ბინა გლდანი 1 მკრ. რაიონში,"გლდანი 1 მკრ., გლდანის მასივი, გლდანის რაიონი, თბილისი","131,800GEL"
იყიდება ახალი აშენებული ბინა გლდანის მასივში,"თიანეთის გზატკეცილი, გლდანის მასივი, გლდანის რაიონი, თბილისი","96,100GEL"
